test_id,test_no,vehicle_id,source_vehicle_no,impact_family,vehicle_role,quality_tier,flag_all_zero_placeholder,flag_not_subject_vehicle,flag_dpd_all_zero,flag_crhdst_missing_or_zero,flag_vdi_unusable,flag_lencnt_missing,flag_damdst_missing,flag_lencnt_out_of_range,flag_damdst_out_of_range,flag_crhdst_lt_dpdmax,flag_pdof_family_mismatch,flag_side_imppnt_mismatch,flag_axbx_all_missing,flag_axbx_no_delta,flag_rear_low_confidence,flag_not_target_family,exclusion_reason
23,7352,31,1,side_impactor,impactor_vehicle,X_Exclude,1,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,not_subject_vehicle
23,7352,32,2,side_impactor,subject_vehicle,A_ProfileValid,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
20,7353,27,1,side_impactor,impactor_vehicle,X_Exclude,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,not_subject_vehicle
24,7354,33,1,side,subject_vehicle,C_MaxOnly,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,7355,34,1,side_impactor,impactor_vehicle,X_Exclude,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,not_subject_vehicle
25,7355,35,2,side_impactor,subject_vehicle,A_ProfileValid,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
26,7356,36,1,side_impactor,impactor_vehicle,X_Exclude,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,not_subject_vehicle
30,7359,41,1,frontal_barrier,subject_vehicle,B_ProfilePartial,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
31,7361,42,1,side,subject_vehicle,C_MaxOnly,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
35,7363,48,1,side_impactor,impactor_vehicle,X_Exclude,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,not_subject_vehicle
35,7363,49,2,side_impactor,subject_vehicle,A_ProfileValid,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
33,7364,44,1,side_impactor,impactor_vehicle,X_Exclude,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,not_subject_vehicle
37,7365,51,1,side,subject_vehicle,C_MaxOnly,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
40,7367,55,1,side_impactor,impactor_vehicle,X_Exclude,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,not_subject_vehicle
39,7369,54,1,side,subject_vehicle,C_MaxOnly,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
42,7371,58,1,research_other,subject_vehicle,A_ProfileValid,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,audit_only_family
42,7371,59,2,research_other,subject_vehicle,A_ProfileValid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,audit_only_family
63,7385,80,1,side,subject_vehicle,C_MaxOnly,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
89,7392,106,1,side_impactor,impactor_vehicle,X_Exclude,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,not_subject_vehicle
102,7394,120,1,side,subject_vehicle,C_MaxOnly,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
77,7395,94,1,static_airbag,subject_vehicle,X_Exclude,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,audit_only_family
65,7396,82,1,static_airbag,subject_vehicle,X_Exclude,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,audit_only_family
70,7397,87,1,static_airbag,subject_vehicle,X_Exclude,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,audit_only_family
64,7398,81,1,static_airbag,subject_vehicle,X_Exclude,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,audit_only_family
62,7399,79,1,static_airbag,subject_vehicle,X_Exclude,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,audit_only_family
94,7401,112,1,static_airbag,subject_vehicle,X_Exclude,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,audit_only_family
90,7402,108,1,static_airbag,subject_vehicle,X_Exclude,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,audit_only_family
100,7403,118,1,static_airbag,subject_vehicle,X_Exclude,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,audit_only_family
101,7404,119,1,static_airbag,subject_vehicle,X_Exclude,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,audit_only_family
103,7405,121,1,static_airbag,subject_vehicle,X_Exclude,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,audit_only_family
104,7406,122,1,static_airbag,subject_vehicle,X_Exclude,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,audit_only_family
107,7407,125,1,static_airbag,subject_vehicle,X_Exclude,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,audit_only_family
108,7408,126,1,static_airbag,subject_vehicle,X_Exclude,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,audit_only_family
106,7409,124,1,static_airbag,subject_vehicle,X_Exclude,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,audit_only_family
118,7410,138,1,static_airbag,subject_vehicle,X_Exclude,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,audit_only_family
95,7411,113,1,side,subject_vehicle,C_MaxOnly,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
122,7412,144,1,side_impactor,impactor_vehicle,X_Exclude,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,not_subject_vehicle
122,7412,145,2,side_impactor,subject_vehicle,A_ProfileValid,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
105,7413,123,1,side,subject_vehicle,C_MaxOnly,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
119,7414,139,1,side,subject_vehicle,C_MaxOnly,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
125,7415,148,1,static_airbag,subject_vehicle,X_Exclude,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,audit_only_family
121,7416,142,1,side_impactor,impactor_vehicle,X_Exclude,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,not_subject_vehicle
126,7418,149,1,side,subject_vehicle,C_MaxOnly,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
128,7419,151,1,frontal_barrier,subject_vehicle,A_ProfileValid,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
127,7420,150,1,static_airbag,subject_vehicle,X_Exclude,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,audit_only_family
145,7421,170,1,static_airbag,subject_vehicle,X_Exclude,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,audit_only_family
157,7422,183,1,static_airbag,subject_vehicle,X_Exclude,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,audit_only_family
154,7423,180,1,static_airbag,subject_vehicle,X_Exclude,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,audit_only_family
155,7425,181,1,static_airbag,subject_vehicle,X_Exclude,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,audit_only_family
156,7436,182,1,static_airbag,subject_vehicle,X_Exclude,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,audit_only_family
169,7437,198,1,static_airbag,subject_vehicle,X_Exclude,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,audit_only_family
178,7438,207,1,side,subject_vehicle,C_MaxOnly,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
181,7439,210,1,side_impactor,impactor_vehicle,X_Exclude,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,not_subject_vehicle
124,7442,147,1,rollover,subject_vehicle,X_Exclude,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,audit_only_family
208,7448,243,1,side_impactor,impactor_vehicle,X_Exclude,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,not_subject_vehicle
208,7448,244,2,side_impactor,subject_vehicle,A_ProfileValid,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
200,7449,233,1,static_airbag,subject_vehicle,X_Exclude,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,audit_only_family
201,7450,234,1,static_airbag,subject_vehicle,X_Exclude,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,audit_only_family
199,7451,232,1,static_airbag,subject_vehicle,X_Exclude,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,audit_only_family
198,7452,231,1,static_airbag,subject_vehicle,X_Exclude,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,audit_only_family
202,7453,235,1,static_airbag,subject_vehicle,X_Exclude,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,audit_only_family
210,7454,247,1,side,subject_vehicle,C_MaxOnly,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
214,7455,253,1,side,subject_vehicle,C_MaxOnly,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
217,7461,257,1,side_impactor,impactor_vehicle,X_Exclude,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,not_subject_vehicle
217,7461,258,2,side_impactor,subject_vehicle,C_MaxOnly,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
219,7462,260,1,side,subject_vehicle,C_MaxOnly,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,
221,7463,262,1,side,subject_vehicle,C_MaxOnly,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,
225,7465,267,1,side_impactor,impactor_vehicle,X_Exclude,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,not_subject_vehicle
225,7465,268,2,side_impactor,subject_vehicle,A_ProfileValid,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,
222,7466,263,1,side,subject_vehicle,C_MaxOnly,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
211,7467,248,1,research_other,subject_vehicle,X_Exclude,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,audit_only_family
211,7467,249,2,research_other,subject_vehicle,A_ProfileValid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,audit_only_family
223,7469,264,1,side_impactor,impactor_vehicle,X_Exclude,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,not_subject_vehicle
223,7469,265,2,side_impactor,subject_vehicle,C_MaxOnly,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
226,7470,269,1,side_impactor,impactor_vehicle,X_Exclude,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,not_subject_vehicle
226,7470,270,2,side_impactor,subject_vehicle,A_ProfileValid,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
227,7472,271,1,side,subject_vehicle,C_MaxOnly,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
228,7473,272,1,side_impactor,impactor_vehicle,X_Exclude,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,not_subject_vehicle
228,7473,273,2,side_impactor,subject_vehicle,C_MaxOnly,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
229,7474,274,1,side,subject_vehicle,C_MaxOnly,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
240,7477,286,1,side,subject_vehicle,B_ProfilePartial,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,
237,7479,282,1,side_impactor,impactor_vehicle,X_Exclude,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,not_subject_vehicle
237,7479,283,2,side_impactor,subject_vehicle,C_MaxOnly,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
244,7483,290,1,side_impactor,impactor_vehicle,X_Exclude,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,not_subject_vehicle
244,7483,291,2,side_impactor,subject_vehicle,A_ProfileValid,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
245,7484,292,1,side_impactor,impactor_vehicle,X_Exclude,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,not_subject_vehicle
246,7485,294,1,side,subject_vehicle,C_MaxOnly,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,
247,7486,295,1,side_impactor,impactor_vehicle,X_Exclude,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,not_subject_vehicle
263,7487,312,1,side,subject_vehicle,C_MaxOnly,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,
262,7489,311,1,side,subject_vehicle,C_MaxOnly,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
266,7492,316,1,side_impactor,impactor_vehicle,X_Exclude,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,not_subject_vehicle
266,7492,317,2,side_impactor,subject_vehicle,A_ProfileValid,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
264,7493,313,1,side_impactor,impactor_vehicle,X_Exclude,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,not_subject_vehicle
264,7493,314,2,side_impactor,subject_vehicle,C_MaxOnly,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
268,7496,319,1,side,subject_vehicle,B_ProfilePartial,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
269,7497,320,1,side,subject_vehicle,C_MaxOnly,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
271,7498,323,1,side_impactor,impactor_vehicle,X_Exclude,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,not_subject_vehicle
271,7498,324,2,side_impactor,subject_vehicle,A_ProfileValid,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
204,7499,237,1,rollover,subject_vehicle,X_Exclude,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,audit_only_family
173,7500,202,1,rollover,subject_vehicle,X_Exclude,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,audit_only_family
179,7501,208,1,rollover,subject_vehicle,X_Exclude,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,audit_only_family
270,7503,321,1,side_impactor,impactor_vehicle,X_Exclude,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,not_subject_vehicle
270,7503,322,2,side_impactor,subject_vehicle,C_MaxOnly,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
274,7506,327,1,side,subject_vehicle,C_MaxOnly,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
278,7507,333,1,side_impactor,impactor_vehicle,X_Exclude,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,not_subject_vehicle
278,7507,334,2,side_impactor,subject_vehicle,A_ProfileValid,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
276,7508,329,1,side_impactor,impactor_vehicle,X_Exclude,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,not_subject_vehicle
276,7508,330,2,side_impactor,subject_vehicle,A_ProfileValid,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
277,7510,331,1,side_impactor,impactor_vehicle,X_Exclude,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,not_subject_vehicle
277,7510,332,2,side_impactor,subject_vehicle,C_MaxOnly,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
280,7511,336,1,side,subject_vehicle,C_MaxOnly,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,
281,7512,337,1,side,subject_vehicle,C_MaxOnly,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,
218,7513,259,1,rollover,subject_vehicle,X_Exclude,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,audit_only_family
238,7514,284,1,rollover,subject_vehicle,X_Exclude,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,audit_only_family
260,7515,309,1,rollover,subject_vehicle,X_Exclude,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,audit_only_family
283,7517,339,1,side_impactor,impactor_vehicle,X_Exclude,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,not_subject_vehicle
283,7517,340,2,side_impactor,subject_vehicle,C_MaxOnly,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
284,7518,341,1,side,subject_vehicle,C_MaxOnly,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,
285,7519,342,1,side_impactor,impactor_vehicle,X_Exclude,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,not_subject_vehicle
285,7519,343,2,side_impactor,subject_vehicle,A_ProfileValid,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
302,7522,363,1,side,subject_vehicle,C_MaxOnly,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,
289,7523,347,1,side,subject_vehicle,C_MaxOnly,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
290,7524,348,1,side,subject_vehicle,A_ProfileValid,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
291,7525,349,1,frontal_barrier,subject_vehicle,B_ProfilePartial,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
295,7528,353,1,side_impactor,impactor_vehicle,X_Exclude,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,not_subject_vehicle
295,7528,354,2,side_impactor,subject_vehicle,A_ProfileValid,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
287,7529,345,1,side,subject_vehicle,B_ProfilePartial,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
292,7530,350,1,static_airbag,subject_vehicle,X_Exclude,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,audit_only_family
298,7532,357,1,side,subject_vehicle,C_MaxOnly,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
299,7533,358,1,side,subject_vehicle,B_ProfilePartial,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
300,7534,359,1,side_impactor,impactor_vehicle,X_Exclude,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,not_subject_vehicle
300,7534,360,2,side_impactor,subject_vehicle,A_ProfileValid,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
301,7535,361,1,side_impactor,impactor_vehicle,X_Exclude,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,not_subject_vehicle
301,7535,362,2,side_impactor,subject_vehicle,C_MaxOnly,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
305,7537,366,1,side_impactor,impactor_vehicle,X_Exclude,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,not_subject_vehicle
305,7537,367,2,side_impactor,subject_vehicle,A_ProfileValid,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
306,7538,368,1,side,subject_vehicle,C_MaxOnly,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,
310,7539,373,1,side_impactor,impactor_vehicle,X_Exclude,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,not_subject_vehicle
310,7539,374,2,side_impactor,subject_vehicle,A_ProfileValid,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
307,7540,369,1,side,subject_vehicle,C_MaxOnly,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
308,7541,370,1,side_impactor,impactor_vehicle,X_Exclude,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,not_subject_vehicle
308,7541,371,2,side_impactor,subject_vehicle,A_ProfileValid,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
309,7542,372,1,side,subject_vehicle,B_ProfilePartial,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
129,7543,152,1,sled_without_body,subject_vehicle,X_Exclude,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,audit_only_family
130,7544,153,1,sled_without_body,subject_vehicle,X_Exclude,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,audit_only_family
131,7545,154,1,sled_without_body,subject_vehicle,X_Exclude,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,audit_only_family
132,7546,155,1,sled_without_body,subject_vehicle,X_Exclude,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,audit_only_family
133,7547,156,1,sled_without_body,subject_vehicle,X_Exclude,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,audit_only_family
135,7548,159,1,sled_without_body,subject_vehicle,X_Exclude,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,audit_only_family
136,7549,160,1,sled_without_body,subject_vehicle,X_Exclude,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,audit_only_family
138,7550,162,1,sled_without_body,subject_vehicle,X_Exclude,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,audit_only_family
139,7551,163,1,sled_without_body,subject_vehicle,X_Exclude,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,audit_only_family
141,7552,166,1,sled_without_body,subject_vehicle,X_Exclude,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,audit_only_family
142,7553,167,1,sled_without_body,subject_vehicle,X_Exclude,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,audit_only_family
143,7554,168,1,sled_without_body,subject_vehicle,X_Exclude,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,audit_only_family
144,7555,169,1,sled_without_body,subject_vehicle,X_Exclude,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,audit_only_family
170,7556,199,1,sled_without_body,subject_vehicle,X_Exclude,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,audit_only_family
171,7557,200,1,sled_without_body,subject_vehicle,X_Exclude,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,audit_only_family
174,7558,203,1,sled_without_body,subject_vehicle,X_Exclude,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,audit_only_family
175,7559,204,1,sled_without_body,subject_vehicle,X_Exclude,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,audit_only_family
176,7560,205,1,sled_without_body,subject_vehicle,X_Exclude,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,audit_only_family
177,7561,206,1,sled_without_body,subject_vehicle,X_Exclude,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,audit_only_family
180,7562,209,1,sled_without_body,subject_vehicle,X_Exclude,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,audit_only_family
311,7563,375,1,side_impactor,impactor_vehicle,X_Exclude,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,not_subject_vehicle
311,7563,376,2,side_impactor,subject_vehicle,C_MaxOnly,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
312,7565,377,1,side,subject_vehicle,A_ProfileValid,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
316,7568,381,1,side,subject_vehicle,C_MaxOnly,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,
318,7570,384,1,side,subject_vehicle,C_MaxOnly,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
317,7571,382,1,side_impactor,impactor_vehicle,X_Exclude,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,not_subject_vehicle
317,7571,383,2,side_impactor,subject_vehicle,A_ProfileValid,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
319,7572,385,1,side_impactor,impactor_vehicle,X_Exclude,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,not_subject_vehicle
319,7572,386,2,side_impactor,subject_vehicle,C_MaxOnly,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
322,7576,389,1,side_impactor,impactor_vehicle,X_Exclude,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,not_subject_vehicle
322,7576,390,2,side_impactor,subject_vehicle,A_ProfileValid,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
324,7578,392,1,side_impactor,impactor_vehicle,X_Exclude,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,not_subject_vehicle
324,7578,393,2,side_impactor,subject_vehicle,A_ProfileValid,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
325,7580,394,1,side_impactor,impactor_vehicle,X_Exclude,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,not_subject_vehicle
325,7580,395,2,side_impactor,subject_vehicle,A_ProfileValid,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
328,7581,398,1,side,subject_vehicle,C_MaxOnly,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,
332,7583,402,1,side,subject_vehicle,B_ProfilePartial,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
333,7584,403,1,side,subject_vehicle,C_MaxOnly,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,
336,7586,406,1,side_impactor,impactor_vehicle,X_Exclude,1,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,not_subject_vehicle
336,7586,407,2,side_impactor,subject_vehicle,A_ProfileValid,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
